[Ljava.lang.Integer;@448139f0; 0; 2
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 0; 0
[Ljava.lang.Integer;@448139f0; 1; 1
[Ljava.lang.Integer;@448139f0; 3; 1
[Ljava.lang.Integer;@448139f0; 8; 4
[Ljava.lang.Integer;@448139f0; 16; 7
[Ljava.lang.Integer;@448139f0; 36; 18
[Ljava.lang.Integer;@448139f0; 102; 52
[Ljava.lang.Integer;@448139f0; 227; 118
[Ljava.lang.Integer;@448139f0; 720; 392
[Ljava.lang.Integer;@448139f0; 1845; 986
[Ljava.lang.Integer;@448139f0; 3768; 2602
